rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.92,0.2,93.78
2,3,Barcelona,Spanish Primera Division,3.16,0.39,92.6
3,4,Real Madrid,Spanish Primera Division,2.99,0.38,91.75
4,2,Bayern Munich,German Bundesliga,2.94,0.4,90.93
5,6,Juventus,Italy Serie A,2.66,0.29,90.72
6,5,Liverpool,Barclays Premier League,2.66,0.3,90.56
7,7,Paris Saint-Germain,French Ligue 1,3.02,0.5,90.04
8,8,Atletico Madrid,Spanish Primera Division,2.21,0.26,87.34
9,9,Chelsea,Barclays Premier League,2.52,0.45,86.66
10,10,Tottenham Hotspur,Barclays Premier League,2.42,0.52,84.23
11,11,Napoli,Italy Serie A,2.26,0.45,83.85
12,20,Ajax,Dutch Eredivisie,2.65,0.77,82.01
13,15,Internazionale,Italy Serie A,2.23,0.55,81.31
14,14,Arsenal,Barclays Premier League,2.54,0.75,81.19
15,12,Sevilla FC,Spanish Primera Division,2.39,0.66,81.06
16,13,Borussia Dortmund,German Bundesliga,2.44,0.74,80.08
17,16,Valencia,Spanish Primera Division,2.06,0.5,80.05
18,17,Manchester United,Barclays Premier League,2.28,0.67,79.39
19,19,PSV,Dutch Eredivisie,2.76,0.99,79.29
20,22,AS Roma,Italy Serie A,2.27,0.68,79.14
21,21,FC Porto,Portuguese Liga,2.17,0.67,77.98
22,24,AC Milan,Italy Serie A,2.17,0.67,77.8
23,25,FC Salzburg,Austrian T-Mobile Bundesliga,2.49,0.89,77.68
24,28,Real Betis,Spanish Primera Division,1.86,0.48,77.61
25,27,Espanyol,Spanish Primera Division,1.92,0.54,77.04
26,29,Getafe,Spanish Primera Division,1.81,0.48,76.87
27,30,Lyon,French Ligue 1,2.12,0.71,76.32
28,31,Real Sociedad,Spanish Primera Division,2.09,0.69,76.23
29,23,Lazio,Italy Serie A,2.18,0.77,75.84
30,46,RB Leipzig,German Bundesliga,2.3,0.87,75.58
31,18,Young Boys,Swiss Raiffeisen Super League,2.65,1.11,75.52
32,32,Benfica,Portuguese Liga,2.06,0.7,75.51
33,36,PAOK Salonika,Greek Super League,2.02,0.68,75.36
34,35,Eibar,Spanish Primera Division,1.88,0.59,75.34
35,33,Shakhtar Donetsk,UEFA Champions League,2.23,0.84,74.96
36,26,Villarreal,Spanish Primera Division,2.05,0.74,74.55
37,37,Atalanta,Italy Serie A,1.99,0.7,74.38
38,39,Dynamo Kiev,UEFA Europa League,2.08,0.81,73.46
39,41,Fiorentina,Italy Serie A,1.91,0.7,73.2
40,44,Bayer Leverkusen,German Bundesliga,2.16,0.89,72.92
41,34,Club Brugge,Belgian Jupiler League,2.34,1.02,72.89
42,38,CSKA Moscow,Russian Premier Liga,1.76,0.62,72.33
43,42,Athletic Bilbao,Spanish Primera Division,1.95,0.77,72.1
44,48,Leganes,Spanish Primera Division,1.8,0.66,72.0
45,49,TSG Hoffenheim,German Bundesliga,2.15,0.92,71.97
46,45,Celta Vigo,Spanish Primera Division,2.06,0.86,71.94
47,56,Schalke 04,German Bundesliga,1.82,0.69,71.66
48,50,FC Krasnodar,Russian Premier Liga,1.87,0.74,71.53
49,43,Leicester City,Barclays Premier League,1.93,0.78,71.52
50,52,Alavés,Spanish Primera Division,1.8,0.69,71.43
51,40,Marseille,French Ligue 1,2.02,0.86,71.21
52,51,Zenit St Petersburg,Russian Premier Liga,1.92,0.79,71.02
53,55,Galatasaray,Turkish Turkcell Super Lig,2.07,0.91,70.81
54,47,Girona FC,Spanish Primera Division,1.93,0.81,70.78
55,58,Palmeiras,Brasileiro Série A,1.66,0.66,69.71
56,68,Genk,Belgian Jupiler League,2.21,1.09,69.21
57,72,Borussia Monchengladbach,German Bundesliga,2.1,1.02,68.77
58,57,AEK Athens,Greek Super League,1.67,0.71,68.49
59,53,Olympiacos,Greek Super League,1.88,0.87,68.47
60,67,Sporting CP,Portuguese Liga,1.78,0.8,68.36
61,64,Wolverhampton,Barclays Premier League,1.72,0.76,68.16
62,65,SD Huesca,Spanish Primera Division,1.83,0.86,67.9
63,61,Real Valladolid,Spanish Primera Division,1.72,0.77,67.88
64,71,Everton,Barclays Premier League,1.83,0.85,67.88
65,74,Eintracht Frankfurt,German Bundesliga,1.85,0.87,67.84
66,60,Crystal Palace,Barclays Premier League,1.79,0.82,67.82
67,69,Guangzhou Evergrande,Chinese Super League,2.13,1.1,67.72
68,88,AFC Bournemouth,Barclays Premier League,2.0,1.02,67.28
69,59,Torino,Italy Serie A,1.71,0.79,67.22
70,54,Watford,Barclays Premier League,1.81,0.87,67.18
71,80,Levante,Spanish Primera Division,1.99,1.02,67.02
72,66,Grêmio,Brasileiro Série A,1.58,0.7,66.98
73,75,Werder Bremen,German Bundesliga,1.86,0.92,66.83
74,62,Besiktas,Turkish Turkcell Super Lig,1.99,1.03,66.81
75,70,Rayo Vallecano,Spanish Primera Division,1.84,0.91,66.73
76,63,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.68,0.79,66.41
77,82,West Ham United,Barclays Premier League,1.8,0.91,65.96
78,81,Sampdoria,Italy Serie A,1.77,0.89,65.77
79,85,FC Augsburg,German Bundesliga,1.97,1.06,65.76
80,78,Ludogorets,UEFA Europa League,1.76,0.89,65.61
81,79,Newcastle,Barclays Premier League,1.68,0.83,65.6
82,76,AS Monaco,French Ligue 1,1.76,0.92,64.89
83,77,Southampton,Barclays Premier League,1.74,0.91,64.81
84,83,Spartak Moscow,Russian Premier Liga,1.71,0.88,64.76
85,73,Red Star Belgrade,UEFA Champions League,2.0,1.12,64.74
86,87,Stade Rennes,French Ligue 1,1.56,0.78,64.47
87,89,Sassuolo,Italy Serie A,1.79,0.98,64.11
88,96,FC Midtjylland,Danish SAS-Ligaen,1.97,1.13,64.04
89,103,Standard Liege,Belgian Jupiler League,1.91,1.08,64.04
90,92,Montpellier,French Ligue 1,1.49,0.73,63.96
91,84,Feyenoord,Dutch Eredivisie,2.12,1.26,63.94
92,109,Lille,French Ligue 1,1.69,0.92,63.73
93,86,VfB Stuttgart,German Bundesliga,1.72,0.94,63.71
94,104,Lokomotiv Moscow,Russian Premier Liga,1.54,0.8,63.41
95,111,Flamengo,Brasileiro Série A,1.59,0.84,63.38
96,91,Hertha Berlin,German Bundesliga,1.79,1.01,63.28
97,93,Boca Juniors,Argentina Primera Division,1.67,0.92,63.04
98,110,Braga,Portuguese Liga,1.74,0.99,63.03
