rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.11,0.29,92.96
2,Spain,UEFA,3.46,0.48,92.54
3,Belgium,UEFA,3.06,0.54,89.1
4,France,UEFA,2.84,0.46,88.57
5,Germany,UEFA,2.96,0.56,87.93
6,Argentina,CONMEBOL,2.57,0.49,85.53
7,England,UEFA,2.32,0.51,82.36
8,Portugal,UEFA,2.38,0.56,81.99
9,Netherlands,UEFA,2.55,0.68,81.61
10,Uruguay,CONMEBOL,2.3,0.54,81.58
11,Croatia,UEFA,2.5,0.66,81.58
12,Colombia,CONMEBOL,2.13,0.49,80.22
13,Switzerland,UEFA,2.4,0.68,79.89
14,Italy,UEFA,2.07,0.56,78.01
15,Chile,CONMEBOL,2.25,0.7,77.4
16,Ukraine,UEFA,2.03,0.65,75.19
17,Mexico,CONCACAF,2.12,0.76,74.19
18,Sweden,UEFA,2.02,0.7,73.99
19,Morocco,CAF,1.95,0.66,73.72
20,Serbia,UEFA,2.08,0.77,73.13
21,Austria,UEFA,1.99,0.72,72.85
22,Poland,UEFA,2.08,0.8,72.58
23,Japan,AFC,2.13,0.86,72.09
24,Ecuador,CONMEBOL,2.04,0.8,72.08
25,Denmark,UEFA,1.93,0.72,72.0
26,Peru,CONMEBOL,1.88,0.69,71.91
27,Russia,UEFA,2.08,0.83,71.87
28,Nigeria,CAF,1.85,0.67,71.73
29,USA,CONCACAF,2.01,0.8,71.43
30,Ghana,CAF,1.78,0.67,70.62
31,Bosnia and Herzegovina,UEFA,1.94,0.85,69.14
32,Paraguay,CONMEBOL,1.87,0.8,68.83
33,Iran,AFC,1.62,0.62,68.58
34,Wales,UEFA,1.77,0.79,67.25
35,Turkey,UEFA,1.94,0.94,67.02
36,Senegal,CAF,1.7,0.77,66.46
37,Czech Republic,UEFA,1.9,0.96,65.82
38,Algeria,CAF,1.99,1.05,65.43
39,Ivory Coast,CAF,1.63,0.77,65.06
40,Slovakia,UEFA,1.78,0.9,64.88
41,Venezuela,CONMEBOL,1.76,0.9,64.51
42,Norway,UEFA,1.7,0.88,63.84
43,Costa Rica,CONCACAF,1.66,0.86,63.46
44,Australia,AFC,1.79,0.97,63.37
45,Romania,UEFA,1.62,0.83,63.29
46,Tunisia,CAF,1.82,1.0,63.28
47,South Korea,AFC,1.66,0.89,62.83
48,Iceland,UEFA,1.79,1.01,62.34
49,Scotland,UEFA,1.69,0.94,62.33
50,Egypt,CAF,1.7,0.94,62.33
51,Greece,UEFA,1.46,0.73,62.31
52,Rep of Ireland,UEFA,1.61,0.88,62.03
53,Mali,CAF,1.43,0.81,59.78
54,Cameroon,CAF,1.55,0.92,59.64
55,Montenegro,UEFA,1.54,1.01,57.42
56,Slovenia,UEFA,1.46,0.94,57.2
57,Congo DR,CAF,1.62,1.1,56.9
58,South Africa,CAF,1.48,0.97,56.87
59,Zambia,CAF,1.41,0.92,56.56
60,Northern Ireland,UEFA,1.37,0.89,56.28
61,Bolivia,CONMEBOL,1.63,1.17,55.47
62,Finland,UEFA,1.49,1.06,54.99
63,Honduras,CONCACAF,1.57,1.2,53.46
64,Georgia,UEFA,1.43,1.07,53.43
65,Uzbekistan,AFC,1.24,0.88,53.41
66,Guinea,CAF,1.53,1.19,52.97
67,Belarus,UEFA,1.4,1.08,52.48
68,Hungary,UEFA,1.5,1.19,52.25
69,Burkina Faso,CAF,1.37,1.08,51.82
70,Canada,CONCACAF,1.4,1.11,51.75
71,Saudi Arabia,AFC,1.49,1.21,51.73
72,FYR Macedonia,UEFA,1.35,1.07,51.54
73,Panama,CONCACAF,1.4,1.12,51.52
74,Iraq,AFC,1.34,1.08,51.04
75,Bulgaria,UEFA,1.38,1.12,51.02
76,China PR,AFC,1.27,1.01,51.01
77,Haiti,CONCACAF,1.48,1.23,50.85
78,Syria,AFC,1.53,1.33,49.69
79,Israel,UEFA,1.41,1.22,49.57
80,Angola,CAF,1.16,0.97,49.4
81,Tanzania,CAF,1.47,1.3,49.18
82,Zimbabwe,CAF,1.51,1.36,48.58
83,Albania,UEFA,1.27,1.15,47.91
84,Guatemala,CONCACAF,1.44,1.35,47.41
85,Kosovo,UEFA,1.32,1.24,47.06
86,Libya,CAF,1.16,1.08,46.64
87,Qatar,AFC,1.45,1.4,46.5
88,Jordan,AFC,0.86,0.79,45.7
89,Cape Verde Islands,CAF,1.21,1.19,45.43
90,Kenya,CAF,1.13,1.11,45.21
